Name,Status,District,Temperature - celcius,Precipitation (mm),Humidity (%),Approx. NDVI Value,Soil Moisture (%),Cloud Cover (%),Dew Point (°F),Evapotranspiration (mm/day),Solar Radiation (W/m²)
Pallapalayam,Town Panchayat,Coimbatore,33,980,77,0.62,29,55,65,4.3,545
Pallapatti,Town Panchayat,Karur,32,1010,78,0.64,25,50,66,4.0,540
Pallapatti,Census Town,Virudhunagar,33,1280,79,0.56,30,45,67,4.5,560
Pallathur,Town Panchayat,Sivaganga,32,1300,76,0.68,21,50,64,4.2,530
Pallavaram,Municipality with Outgrowth,Kanchipuram,33,1090,80,0.62,28,55,65,4.1,550
Pallikaranai,Town Panchayat,Kanchipuram,32,1060,74,0.65,22,50,66,4.0,520
Pallikonda,Town Panchayat,Vellore,33,1040,75,0.65,27,45,67,4.1,535
Pallipalayam,Municipality,Namakkal,32,1010,73,0.59,25,50,63,4.2,530
Pallipalayam Agraharam,Census Town,Namakkal,33,970,76,0.60,30,55,64,4.1,540
Pallipattu,Town Panchayat,Thiruvallur,32,1020,78,0.66,29,50,65,4.1,545
Pallippadai,Census Town,Cuddalore,33,1190,80,0.65,24,45,66,4.3,560
Paloor,Census Town,Kanniyakumari,32,1230,79,0.66,21,50,67,4.2,550
Palugal,Town Panchayat,Kanniyakumari,33,1320,78,0.63,28,55,64,4.0,530
Pammal,Municipality,Kanchipuram,32,1070,81,0.60,22,50,61,4.2,520
Panagudi,Town Panchayat,Tirunelveli,33,1090,75,0.62,27,45,62,4.2,535
Panaimarathupatti,Town Panchayat,Salem,32,1030,77,0.58,25,50,65,4.1,550
Panapakkam,Town Panchayat,Vellore,33,980,76,0.65,30,55,66,4.2,520
Pandamangalam,Town Panchayat,Namakkal,32,1250,74,0.60,28,50,67,4.3,530
Pandavarmangalam,Census Town,Thoothukkudi,33,1020,78,0.62,22,45,65,4.0,540
Pannaikadu,Town Panchayat,Dindigul,32,1350,75,0.63,27,50,66,4.2,550
Pannaipuram,Town Panchayat,Theni,33,1260,79,0.65,24,55,64,4.1,530
Panpoli,Town Panchayat,Tirunelveli,32,1370,80,0.60,30,50,65,4.0,530
Panruti,Municipality,Cuddalore,33,970,81,0.58,21,45,66,4.2,535
Papanasam,Town Panchayat,Thanjavur,32,980,76,0.70,29,50,67,4.1,550
Pappankurichi,Census Town,Tiruchirappalli,33,1010,78,0.62,25,55,66,4.2,520
Papparapatti,Town Panchayat,Dharmapuri,32,1050,79,0.59,28,50,65,4.3,540
Papparapatti,Census Town,Salem,33,990,76,0.63,22,45,64,4.0,545
Pappireddipatti,Town Panchayat,Dharmapuri,32,1400,78,0.65,27,50,63,4.1,530
Paramakudi,Municipality,Ramanathapuram,33,1020,80,0.61,24,55,70,4.2,545
Paramathi,Town Panchayat,Namakkal,32,1090,79,0.64,30,50,65,4.3,535
Parangipettai,Town Panchayat,Cuddalore,33,980,77,0.60,21,45,66,4.1,520
Paraniputhur,Census Town,Kanchipuram,32,1230,75,0.57,29,50,67,4.0,530
Paravai,Town Panchayat,Madurai,33,970,78,0.59,25,55,64,4.3,545
Pasur,Town Panchayat,Erode,32,990,80,0.68,28,50,65,4.2,535
Pathamadai (Pattamadai),Town Panchayat,Tirunelveli,33,1010,82,0.62,22,45,66,4.4,540
Pattanam,Census Town,Coimbatore,32,980,79,0.63,27,50,67,4.2,520
Pattinam,Town Panchayat,Namakkal,33,1260,81,0.64,24,55,65,4.1,535
Pattinamkattan,Census Town,Ramanathapuram,32,970,77,0.67,30,50,66,4.3,580
Pattiveeranpatti,Town Panchayat,Dindigul,33,980,78,0.62,21,45,67,4.2,575
Pattukkottai,Municipality,Thanjavur,32,1220,79,0.65,29,50,65,4.4,590
Pavali,Census Town,Virudhunagar,33,1080,76,0.61,25,55,66,4.1,600
Peddikuppam,Census Town,Thiruvallur,32,980,80,0.66,28,50,64,4.3,570
Peerkankaranai,Town Panchayat with Outgrowth,Kanchipuram,33,1050,74,0.58,22,45,65,4.0,550
Pennadam,Town Panchayat,Cuddalore,32,1030,75,0.60,27,50,67,4.2,530
Pennagaram,Town Panchayat,Dharmapuri,33,1010,73,0.61,24,55,66,4.1,520
Pennathur,Town Panchayat,Vellore,32,1070,76,0.63,30,50,64,4.2,535
Peraiyur,Town Panchayat,Madurai,33,1120,78,0.62,21,45,65,4.3,550
Peralam,Town Panchayat,Thiruvarur,32,970,80,0.59,29,50,66,4.4,520
Perambakkam,Census Town,Thiruvallur,33,1200,79,0.66,25,55,67,4.3,530
Perambalur,Municipality,Perambalur,32,980,78,0.60,28,50,66,4.1,540
Peranamallur,Town Panchayat,Tiruvannamalai,33,1010,81,0.61,22,45,64,4.0,550
Peravurani,Town Panchayat,Thanjavur,32,1340,75,0.65,27,50,65,4.2,530
Periagaram,Census Town,Vellore,33,980,77,0.55,24,55,66,4.3,530
Periakottai,Census Town,Tiruppur,32,1350,76,0.60,30,50,67,4.0,535
Periapattinam (Periyapattinam),Census Town,Ramanathapuram,33,970,74,0.56,21,45,68,4.1,550
Periyakodiveri,Town Panchayat,Erode,32,1010,78,0.63,29,50,65,4.2,520
Periyakulam,Municipality,Theni,33,1020,75,0.61,25,55,64,4.3,540
Periyakurichi,Census Town,Cuddalore,32,1030,79,0.62,28,50,67,4.1,545
Periyamanali,Census Town,Namakkal,33,980,80,0.63,22,45,70,4.1,530
Periyanaicken-palayam,Town Panchayat,Coimbatore,32,1010,81,0.56,27,50,63,4.2,545
Periya Negamam,Town Panchayat,Coimbatore,33,970,76,0.63,24,55,68,4.3,535
Periyapatti,Census Town,Namakkal,32,990,78,0.61,30,50,69,4.0,520
Periyasemur,Municipality,Erode,33,950,79,0.62,28,45,65,4.2,530
Pernampattu,Municipality,Vellore,32,1080,76,0.63,22,50,64,4.3,580
Perumagalur,Town Panchayat,Thanjavur,33,990,78,0.50,27,55,66,4.1,570
Perumagoundampatti,Census Town,Salem,33,980,80,0.64,24,50,63,4.3,560
Perumanallur,Census Town,Tiruppur,32,1020,79,0.67,30,55,65,4.2,550
Perumandi,Census Town,Thanjavur,33,1010,77,0.62,28,50,66,4.0,540
Perundurai,Town Panchayat,Erode,32,1070,75,0.65,22,45,67,4.1,570
Perungalathur,Town Panchayat,Kanchipuram,33,1250,78,0.61,30,50,63,4.2,560
Perungudi,Town Panchayat,Kanchipuram,32,1280,80,0.66,25,55,65,4.3,550
Perungulam,Town Panchayat,Thoothukkudi,33,1030,82,0.58,27,50,66,4.4,530
Perur,Town Panchayat,Coimbatore,32,1090,79,0.60,29,45,68,4.1,560
Perur Chettipalayam,Census Town,Coimbatore,33,1010,81,0.61,24,50,66,4.2,570
Peruvilai,Census Town,Kanniyakumari,32,1220,77,0.63,30,55,64,4.2,520
Pethampalayam,Town Panchayat,Erode,33,1010,78,0.62,21,50,65,4.2,560
Pethanaickenpalayam,Town Panchayat,Salem,32,980,79,0.59,26,45,66,4.3,550
Pichandarkovil,Census Town,Tiruchirappalli,33,1050,76,0.66,25,50,67,4.4,530
Pillanallur,Town Panchayat,Namakkal,32,970,80,0.60,28,55,66,4.2,550
P. J. Cholapuram,Town Panchayat,Karur,33,1020,74,0.61,22,50,67,4.3,570
P. Mettupalayam,Town Panchayat,Erode,32,990,75,0.65,27,45,65,4.1,560
P. N. Patti,Town Panchayat,Salem,33,1010,73,0.55,24,50,66,4.3,550
Polichalur,Census Town,Kanchipuram,32,1200,76,0.60,30,55,65,4.0,570
Pollachi,Municipality,Coimbatore,33,1350,78,0.56,21,50,64,4.5,520
Polur,Town Panchayat,Tiruvannamalai,32,1090,80,0.63,29,45,66,4.2,550
Ponmanai,Town Panchayat,Kanniyakumari,33,1180,79,0.61,25,50,70,4.1,560
Ponnamaravathi,Town Panchayat,Pudukkottai,32,1070,78,0.62,28,55,68,4.0,570
Ponnampatti,Town Panchayat,Tiruchirappalli,33,1010,81,0.63,22,50,66,4.1,530
Ponneri,Town Panchayat,Thiruvallur,32,1220,75,0.58,27,45,67,4.2,550
Poolambadi,Town Panchayat,Perambalur,33,970,77,0.55,24,50,65,4.1,570
Poolampatti,Town Panchayat,Salem,32,980,76,0.63,30,55,66,4.1,560
Poolankinar,Census Town,Tiruppur,33,1030,74,0.65,21,50,67,4.3,550
Pooluvapatti,Town Panchayat,Coimbatore,32,1020,78,0.58,29,45,66,4.2,530
Poonamallee,Municipality with Outgrowth,Thiruvallur,33,1270,75,0.72,25,50,64,4.0,570
Poravacheri,Census Town,Nagapattinam,32,990,79,0.60,28,55,68,4.2,550
Porur,Town Panchayat,Thiruvallur,33,1240,80,0.65,22,50,66,4.2,560
Pothanur,Town Panchayat,Namakkal,32,1010,81,0.55,27,45,70,4.1,570
Pothatturpettai,Town Panchayat,Thiruvallur,33,970,76,0.62,24,50,66,4.2,550
Pudiyamputhur,Census Town,Thoothukkudi,32,980,78,0.60,30,55,67,4.3,530
Pudukkottai,Census Town,Pudukkottai,33,1100,79,0.66,21,50,65,4.0,570
Pudukkottai,Municipality,Pudukkottai,32,1050,76,0.68,29,45,70,4.2,570
Pudupalayam,Town Panchayat,Tiruvannamalai,33,1010,78,0.64,25,50,65,4.1,560
Pudupalayam Agraharam,Census Town,Namakkal,32,970,80,0.62,28,55,68,4.0,550
Pudupatti,Town Panchayat,Theni,33,1300,79,0.63,22,50,66,4.2,570
Pudupattinam,Census Town,Kanchipuram,32,1010,77,0.59,27,45,67,4.1,530
Pudupattinam,Census Town,Thanjavur,33,1030,75,0.57,24,50,65,4.2,530
Pudur (S),Town Panchayat,Tirunelveli,32,1260,78,0.60,30,55,69,4.3,550
Puduvayal,Town Panchayat,Sivaganga,33,980,80,0.67,21,50,68,4.0,560
Puliankudi (Puliyankudi),Municipality,Tirunelveli,32,1070,82,0.55,29,45,66,4.1,570
Puliyoorsalai,Census Town,Kanniyakumari,33,1020,79,0.62,25,50,67,4.2,530
Puliyur,Town Panchayat,Karur,32,970,81,0.73,28,55,68,4.3,550
Pullampadi (Pullambadi),Town Panchayat,Tiruchirappalli,33,980,77,0.50,22,50,65,4.1,570
Punjaipugalur,Town Panchayat,Karur,32,1010,78,0.57,27,45,66,4.0,560
Punjaipuliampatti,Municipality,Erode,33,970,79,0.61,24,50,67,4.3,550
Punjai Thottakurichi,Town Panchayat,Karur,32,980,76,0.66,30,55,65,4.2,530
Puthagaram,Census Town,Thiruvallur,33,990,80,0.63,21,50,64,4.4,550
Puthalam,Town Panchayat,Kanniyakumari,32,1230,74,0.58,29,45,67,4.2,570
Putheri,Census Town,Kanniyakumari,33,1010,75,0.62,25,50,65,4.1,560
Puthukkadai,Town Panchayat,Kanniyakumari,32,1020,73,0.64,28,55,63,4.3,550
Puthur Agraharam,Census Town,Salem,33,1210,76,0.56,22,50,63,4.2,530
Puvalur (Poovalur),Town Panchayat,Tiruchirappalli,32,1230,78,0.68,27,45,63,4.4,550
Puzhal,Town Panchayat,Thiruvallur,33,1150,80,0.62,24,50,66,4.1,560
Puzhithivakkam (Ullagaram),Municipality,Kanchipuram,32,1010,79,0.65,30,55,68,4.3,570
Rajapalayam,Municipality,Virudhunagar,33,1090,78,0.65,21,50,66,4.0,570
Rajapalayam,Census Town,Salem,32,1180,81,0.59,29,45,65,4.2,570
Ramalingapuram,Census Town,Virudhunagar,33,1350,75,0.60,25,50,66,4.1,550
Ramanathapuram,Municipality,Ramanathapuram,32,1120,77,0.66,28,55,65,4.2,560
Ramapuram,Census Town,Thiruvallur,33,1070,76,0.65,22,50,67,4.3,570
Rameswaram,Municipality,Ramanathapuram,32,1010,74,0.66,27,45,67,4.4,520
Ranipettai (Ranipet),Municipality,Vellore,33,1190,78,0.63,24,50,64,4.3,550
Rasipuram,Municipality,Namakkal,32,970,75,0.60,30,55,62,4.1,560
Rayagiri,Town Panchayat,Tirunelveli,33,980,79,0.62,21,50,61,4.0,570
Reethapuram,Town Panchayat,Kanniyakumari,32,1020,80,0.58,29,45,66,4.2,530
Rosalpatti,Census Town,Virudhunagar,33,990,81,0.65,25,50,65,4.3,550
R. Pudupatti,Town Panchayat,Namakkal,32,970,76,0.60,28,55,66,4.0,570
R. S. Mangalam,Town Panchayat,Ramanathapuram,33,980,78,0.62,22,50,67,4.1,560
Rudravathi,Town Panchayat,Tiruppur,32,1010,79,0.63,27,45,68,4.2,550
Sakkarakottai,Census Town,Ramanathapuram,33,1030,76,0.65,24,50,65,4.3,550
Sakkimangalam,Census Town,Madurai,32,1200,78,0.60,30,55,66,4.1,560
Salamedu,Census Town,Viluppuram,33,1020,80,0.58,21,50,67,4.1,570
Salangapalayam,Town Panchayat,Erode,32,1010,79,0.62,29,45,68,4.2,550
Salem,Municipal Corporation,Salem,33,980,77,0.63,25,50,70,4.3,570
Samalapuram,Town Panchayat,Tiruppur,32,990,75,0.56,28,55,66,4.0,560
Samanatham,Census Town,Madurai,33,970,78,0.63,22,50,67,4.2,550
Samathur,Town Panchayat,Coimbatore,32,1010,80,0.61,27,45,68,4.3,530
Samayanallur,Census Town,Madurai,33,980,82,0.62,24,50,63,4.1,570
Sambavar Vadagarai,Town Panchayat,Tirunelveli,32,1080,79,0.63,30,55,65,4.3,550
Samusigapuram,Census Town,Virudhunagar,33,990,81,0.50,21,50,67,4.2,560
Sankaramanallur,Town Panchayat,Tiruppur,32,970,77,0.64,29,45,66,4.0,570
Sankarankoil (Sankarankovil),Municipality,Tirunelveli,33,1090,78,0.67,25,50,68,4.1,560
Sankaraperi,Census Town,Thoothukkudi,32,980,79,0.62,28,55,66,4.2,550
Sankarapuram,Town Panchayat,Viluppuram,33,970,76,0.65,22,50,69,4.3,530
Sankarapuram,Census Town,Sivaganga,32,1120,80,0.61,27,45,66,4.4,570
Sankari (Sankagiri),Town Panchayat,Salem,33,1010,74,0.66,24,50,67,4.1,560
Sankarnagar,Town Panchayat,Tirunelveli,32,1230,75,0.58,30,55,66,4.2,550
Sanniyasigundu,Census Town,Salem,33,980,73,0.60,21,50,67,4.2,570
Saravanampatti,Town Panchayat,Coimbatore,32,1010,76,0.61,29,45,66,4.2,560
Sarcarsamakulam,Town Panchayat,Coimbatore,33,1020,78,0.63,25,50,67,4.3,550
Sathankulam,Town Panchayat,Thoothukkudi,32,1150,80,0.62,28,55,65,4.4,530
Sathiyavijayanagaram,Census Town,Tiruvannamalai,33,1080,79,0.59,22,50,66,4.2,570
Sathkar,Census Town,Vellore,32,1030,78,0.66,27,45,67,4.3,560
Sathuvachari (Sathuvacheri),Municipality,Vellore,33,750,81,0.60,24,50,66,4.1,550
Sathyamangalam,Municipality,Erode,32,800,75,0.61,30,55,65,4.3,570
Sattur,Municipality,Virudhunagar,33,1200,77,0.65,24,50,67,4.0,560
Sayalgudi,Town Panchayat,Ramanathapuram,32,1200,76,0.55,30,45,70,4.5,550
Sayapuram,Town Panchayat,Thoothukkudi,30,970,74,0.60,27,50,68,4.2,530
Seerapalli,Town Panchayat,Namakkal,30,980,78,0.56,22,55,67,4.1,550
Seithur,Town Panchayat,Virudhunagar,30,1050,75,0.63,30,50,65,4.0,560
Selathampatti,Census Town,Salem,30,1010,79,0.61,25,45,66,4.1,570
Sembakkam,Town Panchayat,Kanchipuram,30,1230,80,0.62,28,50,65,4.2,550
Sembedu,Census Town,Vellore,30,1020,81,0.63,21,55,66,4.1,530
Sembianallur,Census Town,Tiruppur,30,980,76,0.58,29,50,68,4.1,550
Semmipalayam,Census Town,Tiruppur,30,990,78,0.55,24,45,70,4.3,570
Senapiratti,Census Town,Karur,30,970,79,0.63,30,50,66,4.2,560
Sengamalanachiarpatti,Census Town,Virudhunagar,30,990,76,0.65,21,55,68,4.0,550
Senneerkuppam,Census Town,Thiruvallur,30,1210,78,0.58,27,50,67,4.2,530
Senthamangalam,Town Panchayat,Namakkal,30,1020,80,0.72,22,45,66,4.2,550
Sentharapatti,Town Panchayat,Salem,30,970,79,0.60,29,50,68,4.1,570
Senur,Census Town,Vellore,30,990,77,0.65,25,55,66,4.2,560
Sethiathoppu,Town Panchayat,Cuddalore,30,1010,75,0.55,28,50,67,4.3,550
Sevilimedu,Town Panchayat,Kanchipuram,30,1030,78,0.62,21,45,65,4.0,530
Sevugampatti,Town Panchayat,Dindigul,30,970,80,0.62,30,50,70,4.2,550
Sevur,Census Town,Vellore,30,980,82,0.63,24,55,67,4.1,570
Sevur,Census Town,Tiruvannamalai,30,1010,79,0.56,29,50,69,4.0,560
Shenbakkam,Town Panchayat,Vellore,30,1260,81,0.63,25,45,67,4.2,550
Shenkottai (Sengottai),Municipality,Tirunelveli,30,1080,77,0.61,28,50,66,4.1,570
Sholavandan,Town Panchayat,Madurai,30,1270,78,0.62,22,55,67,4.2,560
Sholinganallur,Town Panchayat with Outgrowth,Kanchipuram,30,1150,79,0.63,27,50,65,4.3,550
Sholingur (Sholinghur),Town Panchayat,Vellore,30,1290,76,0.50,24,45,70,4.0,530
Sholur,Town Panchayat,The Nilgiris,30,1010,80,0.64,30,50,66,4.1,550
Sikkarayapuram,Census Town,Kanchipuram,30,990,74,0.67,21,55,65,4.2,570
Silaiman,Census Town,Madurai,30,980,75,0.62,29,50,67,4.3,560
Silapadi,Census Town,Dindigul,30,1010,73,0.65,25,45,66,4.1,550
Singampuneri (Singampunari),Town Panchayat,Sivaganga,30,1230,76,0.61,28,50,65,4.0,530
Singaperumalkoil,Census Town,Kanchipuram,30,1010,78,0.66,22,55,67,4.3,550
Sircar Periapalayam,Census Town,Tiruppur,30,1350,80,0.58,27,50,68,4.2,570
Sirkali (Sirkazhi),Municipality,Nagapattinam,30,1020,79,0.60,24,45,66,4.4,560
Sirugamani,Town Panchayat,Tiruchirappalli,30,970,78,0.61,30,50,70,4.2,550
Sirukalathur,Census Town,Kanchipuram,30,980,81,0.63,21,55,66,4.1,530
Sirukaveripakkam,Census Town,Kanchipuram,30,1070,75,0.62,29,50,65,4.3,550
Sirumugai,Town Panchayat,Coimbatore,30,1010,77,0.59,25,45,66,4.2,570
Sithayankottai,Town Panchayat,Dindigul,30,990,76,0.66,28,50,67,4.4,560
Sithurajapuram,Census Town,Virudhunagar,30,1030,74,0.60,22,55,66,4.1,550
Sivaganga,Municipality,Sivaganga,30,1050,78,0.61,27,50,67,4.3,530
Sivagiri,Town Panchayat,Erode,30,990,75,0.65,24,45,65,4.0,550
Sivagiri,Town Panchayat,Tirunelveli,30,970,79,0.55,30,50,60,4.2,570
Sivagiripatti,Census Town,Dindigul,30,1150,80,0.60,21,55,66,4.1,560
Sivagnanapuram,Census Town,Virudhunagar,30,980,81,0.56,29,50,67,4.2,550
Sivakasi,Municipality,Virudhunagar,30,1010,76,0.63,25,45,65,4.3,530
Sivanthipuram,Census Town,Tirunelveli,30,970,78,0.61,28,50,67,4.4,550
Somayampalayam,Census Town,Coimbatore,30,980,79,0.62,22,55,66,4.3,570
Soolakkarai,Census Town,Virudhunagar,30,990,76,0.63,27,50,65,4.1,560
Soorapattu,Census Town,Thiruvallur,30,970,78,0.58,24,45,66,4.0,550
South Kannanur,Town Panchayat,Tiruchirappalli,30,980,80,0.55,30,50,67,4.2,530
South Kodikulam,Town Panchayat,Virudhunagar,30,1010,79,0.63,22,55,70,4.3,550
South Nallur,Municipality,Tiruppur,30,1030,77,0.65,25,50,66,4.0,570
Srikalikapuram,Census Town,Thiruvallur,30,1200,75,0.58,23,45,65,4.1,560
Srimushnam,Town Panchayat,Cuddalore,30,970,78,0.72,21,50,66,4.2,550
Sriperumbudur,Town Panchayat,Kanchipuram,30,1270,80,0.60,25,55,67,4.3,530
Sriramapuram,Town Panchayat,Dindigul,30,1180,82,0.65,23,50,65,4.1,550
Srivaikuntam,Town Panchayat,Thoothukkudi,30,1250,79,0.55,24,45,66,4.1,570
Srivilliputhur,Municipality,Virudhunagar,30,1300,81,0.62,28,50,65,4.2,560
St. Thomas Mount-cum-Pallavaram,Cantonment (Board),Kanchipuram,30,1010,77,0.57,20,55,67,4.3,550
Suchindrum (Suchindram),Town Panchayat,Kanniyakumari,30,1050,78,0.59,22,50,66,4.0,530
Suleeswaranpatti,Town Panchayat,Coimbatore,30,990,79,0.68,25,45,65,4.2,550
Sulur,Town Panchayat,Coimbatore,30,970,76,0.62,24,50,66,4.3,570
Sumaitheerthapuram,Census Town,Tirunelveli,30,980,80,0.63,23,55,65,4.1,560
Sundarapandiam,Town Panchayat,Virudhunagar,30,990,74,0.64,21,50,66,4.3,550
Sundarapandianpattinam,Census Town,Ramanathapuram,30,970,75,0.67,23,45,67,4.2,530
Sundarapandiapuram,Town Panchayat,Tirunelveli,30,980,73,0.62,25,50,65,4.0,550
SuPallipattu,Census Town,Vellore,30,1060,76,0.65,26,55,60,4.1,570
Surampatti,Municipality,Erode,30,990,78,0.61,24,50,66,4.2,560
Surandai,Town Panchayat,Tirunelveli,30,1180,80,0.66,22,45,65,4.3,550
Suriyampalayam,Town Panchayat,Erode,30,970,79,0.58,23,50,66,4.4,530
Swamimalai,Town Panchayat,Thanjavur,30,1260,78,0.60,24,55,67,4.1,550
Tajpura,Census Town,Vellore,30,1350,81,0.61,22,50,70,4.2,570
Tambaram,Municipality,Kanchipuram,30,980,75,0.63,24,45,67,4.2,560
Tenkasi,Municipality,Tirunelveli,30,990,77,0.62,27,50,66,4.2,550
Terkukallikulam,Census Town,Tirunelveli,30,1020,76,0.59,25,55,70,4.3,560
Thadikarankonam,Census Town,Kanniyakumari,30,1010,74,0.66,23,50,67,4.4,550
Thadikombu,Town Panchayat,Dindigul,30,1270,78,0.60,24,45,66,4.2,530
Thakkolam,Town Panchayat,Vellore,30,1010,75,0.61,21,50,65,4.3,550
Thalainayar,Town Panchayat,Nagapattinam,30,990,79,0.65,22,55,66,4.1,570
Thalakudi,Census Town,Tiruchirappalli,30,1050,80,0.55,24,50,65,4.3,560
Thamaraikulam,Town Panchayat,Theni,30,1020,81,0.60,21,45,67,4.0,550
Thammampatti,Town Panchayat,Salem,30,1200,76,0.56,22,50,65,4.5,530
Thanakkankulam,Census Town,Madurai,30,970,78,0.63,24,55,67,4.2,550
Thanjavur,Municipality,Thanjavur,30,980,79,0.61,30,50,70,4.1,570
Thanthoni,Municipality,Karur,30,1010,76,0.62,21,45,66,4.0,560
Thappakuttai,Census Town,Salem,30,1320,78,0.63,29,50,67,4.1,550
Tharamangalam,Town Panchayat,Salem,30,970,80,0.58,25,55,66,4.2,530
Tharangambadi,Town Panchayat,Nagapattinam,30,980,79,0.55,28,50,65,4.1,550
Thathaiyangarpet,Town Panchayat,Tiruchirappalli,30,1010,77,0.63,22,45,67,4.1,570
Thathankuttai,Census Town,Namakkal,30,990,75,0.65,27,50,68,4.3,560
Thazhakudy,Town Panchayat,Kanniyakumari,30,970,78,0.58,24,55,66,4.2,550
Thedavur,Town Panchayat,Salem,30,980,80,0.72,30,50,70,4.0,530
Theerthagiriyampattu,Census Town,Thiruvallur,30,990,82,0.60,21,45,66,4.2,550
Thenambakkam,Census Town,Kanchipuram,30,1290,79,0.65,29,50,65,4.2,570
Thengampudur,Town Panchayat,Kanniyakumari,30,1030,81,0.55,25,55,66,4.1,550
Theni Allinagaram,Municipality,Theni,30,980,77,0.62,28,50,67,4.2,530
Thenkarai,Town Panchayat,Coimbatore,30,1020,78,0.60,22,45,66,4.3,550
Thenkarai,Town Panchayat,Theni,30,990,79,0.66,27,50,67,4.0,570
Thenthamaraikulam,Town Panchayat,Kanniyakumari,30,1200,76,0.68,24,55,65,4.2,560
Thenthiruperai,Town Panchayat,Thoothukkudi,30,800,80,0.64,30,50,60,4.1,520
Therur (Theroor),Town Panchayat,Kanniyakumari,30,990,74,0.62,21,45,66,4.0,560
Thevaram,Town Panchayat,Theni,30,1010,75,0.63,20,50,67,4.2,570
Thevur,Town Panchayat,Salem,30,970,73,0.59,10,55,65,4.1,550
Thiagadurgam,Town Panchayat,Viluppuram,30,980,76,0.57,10,50,67,4.2,530
Thikkanamcode,Census Town,Kanniyakumari,30,990,78,0.60,25,45,66,4.3,550
Thindal,Census Town,Erode,30,1020,80,0.67,15,50,65,4.0,570
Thingalnagar,Town Panchayat,Kanniyakumari,30,980,79,0.55,25,55,66,4.1,560
Thirparappu (Thiruparappu),Town Panchayat,Kanniyakumari,30,1350,78,0.62,25,50,67,4.2,550
Thirukarungudi,Town Panchayat,Tirunelveli,30,1290,81,0.73,15,45,70,4.3,530
Thirukkattupalli,Town Panchayat,Thanjavur,30,1010,75,0.50,20,50,66,4.1,550
Thirumalayampalayam,Town Panchayat,Coimbatore,30,990,77,0.57,15,55,65,4.0,570
Thirumalpur,Census Town,Vellore,30,970,76,0.61,10,50,66,4.3,560
Thirumangalam (Tirumangalam),Municipality,Madurai,30,1030,74,0.66,15,45,67,4.2,550
Thirumazhisai,Town Panchayat,Thiruvallur,30,990,78,0.63,10,50,65,4.4,530
Thirumuruganpoondi,Town Panchayat,Tiruppur,30,1010,75,0.58,15,55,66,4.2,550
Thirunagar,Town Panchayat,Madurai,30,980,79,0.62,15,50,65,4.1,570
Thirunageswaram,Town Panchayat,Thanjavur,30,1270,80,0.64,20,45,67,4.3,560
Thiruneermalai,Town Panchayat,Kanchipuram,30,1010,81,0.56,10,50,66,4.2,550
Thirunindravur (Thiruninravur),Town Panchayat,Thiruvallur,30,1030,76,0.68,10,55,67,4.4,530
Thiruparankundram,Municipality with Outgrowth,Madurai,30,1080,78,0.62,15,50,66,4.1,550
Thiruporur,Town Panchayat,Kanchipuram,30,1180,79,0.65,10,45,65,4.3,570
Thiruppalai,Census Town,Madurai,30,990,76,0.65,15,50,67,4.0,560
Thiruppanandal,Town Panchayat,Thanjavur,30,970,78,0.59,20,55,68,4.2,550
Thirupuvanam (Thirubuvanam),Town Panchayat,Thanjavur,30,990,80,0.60,20,50,66,4.1,530
Thirupuvanam,Town Panchayat,Sivaganga,30,970,79,0.66,20,45,70,4.2,550
Thiruthangal,Municipality,Virudhunagar,30,980,77,0.65,15,50,66,4.3,570
Thiruthuraipoondi,Municipality,Thiruvarur,30,1270,75,0.66,20,55,65,4.4,560
Thiruvaiyaru,Town Panchayat,Thanjavur,30,1010,78,0.63,20,50,66,4.3,550
Thiruvalam,Town Panchayat,Vellore,30,990,80,0.60,10,45,67,4.1,530
Thiruvallur (Tiruvallur),Municipality,Thiruvallur,30,1150,82,0.62,10,50,66,4.0,550
Thiruvarur,Municipality,Thiruvarur,30,1350,79,0.58,20,55,67,4.2,570
Thiruvattar,Town Panchayat,Kanniyakumari,30,1290,81,0.64,25,50,65,4.3,560
Thiruvenkadam,Town Panchayat,Tirunelveli,30,980,77,0.67,15,45,60,4.0,550
Thiruvennainallur,Town Panchayat,Viluppuram,30,970,78,0.62,10,50,66,4.1,530
Thiruverumbur,Town Panchayat,Tiruchirappalli,30,1020,79,0.65,15,55,67,4.2,550
Thiruvidaimarudur,Town Panchayat,Thanjavur,30,1180,76,0.61,20,50,65,4.3,570
Thiruvithancode (Thiruvithamcode),Town Panchayat,Kanniyakumari,30,1270,80,0.66,25,45,67,4.1,560
Thisayanvilai,Town Panchayat,Tirunelveli,30,990,74,0.58,15,50,66,4.1,550
Thondamuthur,Town Panchayat,Coimbatore,30,1010,75,0.60,15,55,65,4.2,530
Thondi,Town Panchayat,Ramanathapuram,30,1150,73,0.61,20,50,66,4.3,550
Thoothukkudi (Thoothukudi),Municipal Corporation,Thoothukkudi,30,1350,76,0.63,15,45,67,4.0,570
Thorapadi,Town Panchayat,Vellore,30,990,78,0.62,10,50,70,4.2,560
Thorapadi,Town Panchayat,Cuddalore,30,980,80,0.59,10,55,66,4.3,550
Thottipalayam,Census Town,Tiruppur,30,1010,79,0.66,15,50,65,4.1,530
Thottiyam,Town Panchayat,Tiruchirappalli,30,970,78,0.60,15,45,66,4.3,550
Thozhur,Census Town,Thiruvallur,30,990,81,0.61,10,50,67,4.2,570
